player_id,role,fname,lname,name,mapped_role,position,f_pos
97181d1b,Unknown,Mehar,Cheema,Mehar Partap Singh Cheema,,Wicketkeeper,Wicketkeeper
0a8ebf05,Unknown,Richard,Veillard,Richard J Veillard,,,
786b7296,Allrounder,Bilal,Shafayat,Bilal Mustapha Shafayat,Allrounder,,Allrounder
1c4161b3,Batting allrounder,Bilal,Safdar,Bilal Safdar,Allrounder,,Allrounder
b29f6148,Unknown,Heramb,Parab,Heramb Parab,,,Allrounder
01dc3ec0,Unknown,Patrick,Botha,Patrick Botha,,Allrounder,Allrounder
61a1cead,Unknown,Abdul,Mazid,Mohammad Abdul Mazid,,Bowler,Bowler
f7b3d625,Unknown,Jack,Boyle,John Christopher Thwaites Boyle,,,Allrounder
aaa5a3a3,Unknown,Juan,Landsberg,Juan Landsberg,,Bowler,Bowler
4b83e65a,Unknown,Alexis,Balla,Alexis Raoul Balla,,,Allrounder
afe3355a,Middle-order batter,Ankit,Bawne,Ankit Ramdas Bawne,Batter,,Batter
6824ecc1,Unknown,Arthur,Fielder,Arthur Fielder,,,
6a983199,Unknown,Jack,Lalor,Jack Lalor,,,Allrounder
9446598e,Unknown,Afida,Afthab,Afida Afthab,,,Allrounder
af2a0740,Allrounder,Muthumudalige,Pushpakumara,Muthumudalige Pushpakumara,Allrounder,,Allrounder
0ba9de33,Unknown,Henry,Tyler,Henry Ernest Roy Tyler,,,Wicketkeeper
3d244657,Unknown,Peter,Spall,Peter Brian Spall,,,
37cb317b,Unknown,Abdul,Muqeet,Abdul Muqeet,,,
49b6c09f,Allrounder,James,Tredwell,James Cullum Tredwell,Allrounder,,Allrounder
deffbf89,Unknown,James,Cushway,James Cushway,,,
2509b6e5,Unknown,Peter,Truscott,Peter Bennetts Truscott,,,
3cf06094,Batter,Bilal,Tahir,Bilal Mohammad Tahir Ghulam Hussain,Batter,,Batter
1d71fd86,Unknown,Dick,Westcott,Richard John Westcott,,,
db07c3e8,Unknown,Abdul,Nabi,Abdul Nabi,,,
f994f4ca,Opening batter,Andri,Berenger,Andri Raffaelo Berenger,Batter,,Batter
